Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-06-19 13:54:40 UTC,,,249.976272772,SUI,0.023727228,SUI,,,,Sui Tx,EkintzDR21cSaNF9RPBcyMa9Mfy56TVhA5BxY3Xbze4m
2025-06-19 13:55:13 UTC,250.001271544,SUI,246.314453216,SPRING_SUI,0.001271544,SUI,,,,Sui Tx,2ikeoxofwfTWkjZ2kM236HBt8SU4ztYCRN9wnC2gEHEJ
2025-06-19 13:55:31 UTC,246.314453216,SPRING_SUI,,,0.013039804,SUI,,,,Sui Tx,Es3NmGN4C5Nmy11RwaV258eUa8JMfLQiXBReHW8dajcW
2025-06-19 17:41:24 UTC,,,0.482792079,SUI,0.019384296,SUI,,,,Sui Tx,4TBvHsgjt2rxyiv8yRM9i1JfWPjWiKGNSedpU5pXThia
2025-06-19 17:41:54 UTC,5.554206856,WAL,0.81815364,SUI,0.03434008,SUI,,,,Sui Tx,HwmK8UhW6JvwZQpi9scoQR69Hm4daewyoo1w1xXkMZfj
2025-06-19 17:42:15 UTC,0.107906013,DEEP,4.943813602,SUI,,,,,,Sui Tx,2mV2gy3o6ik9wt1orDfDSAhdT9WrQemipip1RwKKASxT
2025-06-19 17:42:26 UTC,6.554942,USDC,2.325827487,SUI,0.004200868,SUI,,,,Sui Tx,HRwLbTKQraaBtGH61mjUBFAfEae88BYssGLRC2FbMnRh
2025-06-19 17:42:46 UTC,0.096369704,STSUI,0.027848116,SUI,0.06998392,SUI,,,,Sui Tx,GmYFjCcq3biaLowJ3rX8UCx52oYzwj5o1LGqVXsYP5dv
2025-06-19 17:45:11 UTC,21.50075976,SUI,,,0.00075976,SUI,,,,Sui Tx,FApE5dqwnCszZWpAvMNPPGncqnw72UWoyG1JXWnAnEGX
2025-06-20 15:30:57 UTC,,,1.377715694,SUI,0.019384296,SUI,,,,Sui Tx,9EcybfLKKhvdspeLePhHpacWgTGpwdpD3Dzr6wowJ4sH
2025-06-20 15:31:28 UTC,0.522070062,STSUI,0.508701986,SUI,0.021299392,SUI,,,,Sui Tx,FsXJ4ALT2ihFAGsYh2ksvMeUWaBhTujyYzdV6SRDFjR2
2025-06-20 15:32:02 UTC,0.01968026,DEEP,0.899974768,SUI,0.045576012,SUI,,,,Sui Tx,AShB95VpJRXjxQPBAhwM6GHnB6k47D4iZ8WvuLQQp4af
2025-06-20 15:32:16 UTC,1.440190363,WAL,0.19993822,SUI,0.02233056,SUI,,,,Sui Tx,CaoEmdmMC3Dd6sVF2W8rVKz2uDnJf56AGbWDbHmyMF2e
2025-06-20 15:32:43 UTC,6.491784,USDC,2.278703813,SUI,0.00037686,SUI,,,,Sui Tx,CZUWcbSHN4Wzso7cchV55n4U6f6VYH1BrTyG3yanEqyY
2025-06-20 15:33:03 UTC,,,0.009878276,SUI,,,,,,Sui Tx,GFQV9VEqgxuReP54hFaP71K73yk1viTTKcwwRCD4SKWn
2025-06-20 15:33:46 UTC,207.823984,USDC,1.516409826,DEEP,0.00214486,SUI,,,,Sui Tx,2aCyfyGRxsDWmeauKWip9KjFkkfgojkzd8Khht1zhHsf
2025-06-20 15:34:08 UTC,207.823984,USDC,,,0.009649392,SUI,,,,Sui Tx,FRwNVkeKNW7G74bqrtrqFnoD4UgSbH1eWjyUHh73fpjg
2025-06-20 18:08:12 UTC,,,0.004871852,SUI,,,,,,Sui Tx,5U1hNTMPVJ6KCB66sogQabY9ZzsisNnn2a7aVhvmoLqR
2025-06-20 18:08:56 UTC,1.52970617,DEEP,200.204544,USDC,0.003889644,SUI,,,,Sui Tx,D2Dkx39rBUNPt2K1umW5CqjPLfgAx5pHKu6wp2fTJRNW
2025-06-20 18:09:23 UTC,200.416044,USDC,0.000847576,SUI,,,,,,Sui Tx,CosKUaX1ZihJbnJxXTBnWmMyQjfngMP3xModhwT91Znp
